"movie.name","movie.cast","movie.link","year","votes","rating"
"Apocalypse Now","Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando","http://www.imdb.com/title/tt0078788/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_50",1979,"543767",8.4
"Memento","Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss","http://www.imdb.com/title/tt0209144/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_51",2000,"1023698",8.4
"Spider-Man: Into the Spider-Verse","Bob Persichetti (dir.), Shameik Moore, Jake Johnson","http://www.imdb.com/title/tt4633694/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_52",2018,"185575",8.4
"Alien","Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt","http://www.imdb.com/title/tt0078748/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_53",1979,"707512",8.4
"Hotaru no haka","Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi","http://www.imdb.com/title/tt0095327/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_54",1988,"193630",8.4
"Nuovo Cinema Paradiso","Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale","http://www.imdb.com/title/tt0095765/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_55",1988,"199123",8.4
"The Great Dictator","Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard","http://www.imdb.com/title/tt0032553/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_56",1940,"178470",8.4
"Sunset Blvd.","Billy Wilder (dir.), William Holden, Gloria Swanson","http://www.imdb.com/title/tt0043014/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_57",1950,"177327",8.4
"The Lives of Others","Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck","http://www.imdb.com/title/tt0405094/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_58",2006,"320086",8.4
"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb","Stanley Kubrick (dir.), Peter Sellers, George C. Scott","http://www.imdb.com/title/tt0057012/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_59",1964,"411766",8.4
"Avengers: Infinity War","Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth","http://www.imdb.com/title/tt4154756/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_60",2018,"631758",8.4
"Paths of Glory","Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker","http://www.imdb.com/title/tt0050825/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_61",1957,"154564",8.4
"Django Unchained","Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz","http://www.imdb.com/title/tt1853728/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_62",2012,"1199209",8.4
"The Shining","Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall","http://www.imdb.com/title/tt0081505/?pf_rd_m=A2FGELUUNOQJNL&pf_rd_p=e31d89dd-322d-4646-8962-327b42fe94b1&pf_rd_r=R89VPNE1JV1285T28VW2&pf_rd_s=center-1&pf_rd_t=15506&pf_rd_i=top&ref_=chttp_tt_63",1980,"773635",8.4
