"","doc_id","paragraph_id","sentence_id","sentence","token_id","token","lemma","upos","xpos","feats","head_token_id","dep_rel","deps","misc"
"17","doc17",1,1,"in","1","in","in","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"18","doc18",1,1,"can","1","can","can","AUX","MD","VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"19","doc19",1,1,"not","1","not","not","PART","RB",NA,"0","root",NA,"SpacesAfter=\n"
"20","doc20",1,1,"have","1","have","have","VERB","VBP","Mood=Ind|Tense=Pres|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"21","doc21",1,1,"with","1","with","with","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"22","doc22",1,1,"on","1","on","on","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"23","doc23",1,1,"from","1","from","from","ADP","IN",NA,"0","root",NA,"SpacesAfter=\n"
"24","doc24",1,1,"definitely","1","definitely","definitely","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"25","doc25",1,1,"one","1","one","one","NUM","CD","NumType=Card","0","root",NA,"SpacesAfter=\n"
"26","doc26",1,1,"get","1","get","get","VERB","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"27","doc27",1,1,"please","1","please","please","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"28","doc28",1,1,"also","1","also","also","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"29","doc29",1,1,"id","1","id","id","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"30","doc30",1,1,"dont","1","do","do","AUX","VB","Mood=Imp|VerbForm=Fin","0","root",NA,"SpaceAfter=No"
"31","doc30",1,1,"dont","2","nt","not","PART","RB",NA,"1","advmod",NA,"SpacesAfter=\n"
"32","doc31",1,1,"nicert","1","nicert","nicert","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"33","doc32",1,1,"u","1","u","you","X","ADD",NA,"0","root",NA,"SpacesAfter=\n"
"34","doc33",1,1,"even","1","even","even","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"35","doc34",1,1,"got","1","got","get","VERB","VBD","Mood=Ind|Tense=Past|VerbForm=Fin","0","root",NA,"SpacesAfter=\n"
"36","doc35",1,1,"us","1","us","we","PRON","PRP","Case=Acc|Number=Plur|Person=1|PronType=Prs","0","root",NA,"SpacesAfter=\n"
"37","doc36",1,1,"new","1","new","new","ADJ","JJ","Degree=Pos","0","root",NA,"SpacesAfter=\n"
"38","doc37",1,1,"still","1","still","still","ADV","RB",NA,"0","root",NA,"SpacesAfter=\n"
"39","doc38",1,1,"reply","1","reply","reply","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"40","doc39",1,1,"like","1","like","like","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"41","doc40",1,1,"rs","1","rs","r","NOUN","NNS","Number=Plur","0","root",NA,"SpacesAfter=\n"
"42","doc41",1,1,"rt","1","rt","rt","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"43","doc42",1,1,"pls","1","pls","pls","INTJ","UH",NA,"0","root",NA,"SpacesAfter=\n"
"44","doc43",1,1,"dm","1","dm","dm","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
"45","doc44",1,1,"understand","1","understand","understand","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n"
"46","doc45",1,1,"introduce","1","introduce","introduce","VERB","VB","VerbForm=Inf","0","root",NA,"SpacesAfter=\n"
"47","doc46",1,1,"share","1","share","share","NOUN","NN","Number=Sing","0","root",NA,"SpacesAfter=\n"
