"restaurant_name","cuisines","cost","timings","collections","url"
"Driven Cafe","Cafe, Fast Food, Beverages",600,"4am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/driven-cafe-gachibowli"
"Olive Garden","North Indian, Chinese, Continental, Biryani",700,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/olive-garden-gachibowli"
"Tandoori Food Works","North Indian, Burger, Kebab",500,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...","Brilliant Biryanis","https://www.zomato.com/hyderabad/tandoori-food-works-gachibowli"
"Al Saba Restaurant","North Indian, Chinese, Seafood, Biryani, Hyderabadi",750,"6am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/al-saba-restaurant-gachibowli"
"Yum Yum Tree - The Arabian Food Court","North Indian, Hyderabadi",1200,"12noon – 12midnight (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/yum-yum-tree-the-arabian-food-court-gachibowli"
"Delhi-39","North Indian, Chinese",600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/delhi-39-gachibowli"
"GD's","Burger, American",500,"11:30am – 5am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/gds-gachibowli"
"T Grill","North Indian, Andhra, Biryani, Chinese",700,"12:30pm – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/t-grill-gachibowli"
"The Old Madras Baking Company","Bakery",350,"7am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-old-madras-baking-company-gachibowli"
"Domino's Pizza","Fast Food, Pizza",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dominos-pizza-4-gachibowli"
"Arena Eleven","Continental",1600,"12noon – 12midnight (Mon-Sun)","New on Gold","https://www.zomato.com/hyderabad/arena-eleven-gachibowli"
"The Chocolate Room","Cafe, Desserts",600,"10am – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/the-chocolate-room-gachibowli"
"Mohammedia Shawarma","Street Food, Arabian",150,"1pm – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/mohammedia-shawarma-gachibowli"
"Cascade - Radisson Hyderabad Hitec City","North Indian, Italian, Continental, Asian",1800,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/cascade-radisson-hyderabad-hitec-city-gachibowli"
"Collage - Hyatt Hyderabad Gachibowli","Continental, Italian, North Indian, Chinese, Asian",2800,"24 Hours (Mon-Sun)","Sunday Brunches","https://www.zomato.com/hyderabad/collage-hyatt-hyderabad-gachibowli-gachibowli"
"Triptify","North Indian",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/triptify-gachibowli"
"Momos Delight","Momos",200,"6pm – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/momos-delight-gachibowli"
"Chinese Pavilion","Chinese, Seafood",1000,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chinese-pavilion-gachibowli"
"Desi Bytes","North Indian, Chinese",400,"1pm – 2am (Mon, Wed, Thu, Fri, Sat, Sun), Closed...",NA,"https://www.zomato.com/hyderabad/desi-bytes-gachibowli"
"Dunkin' Donuts","Desserts, Cafe, Beverages, Burger, Fast Food",550,"10am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/dunkin-donuts-gachibowli"
"Zega - Sheraton Hyderabad Hotel","Asian, Sushi",1750,"12noon – 2am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zega-sheraton-hyderabad-hotel-gachibowli"
"Hyderabadi Daawat","Hyderabadi, Chinese, Mughlai",600,"12:30pm – 11:30pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/hyderabadi-daawat-1-gachibowli"
"Zing's Northeast Kitchen","North Eastern, Momos",550,"11:30am – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/zings-northeast-kitchen-gachibowli"
"Noodles Inc","Italian, Indonesian, Russian, Burmese",300,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/noodles-inc-gachibowli"
"IndiBlaze","Fast Food, Salad",600,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indiblaze-gachibowli"
"Sweet Basket","Bakery, Mithai",200,"10am – 10pm (Mon-Thu),8am – 10:30pm (Fri-Sun)",NA,"https://www.zomato.com/hyderabad/sweet-basket-gachibowli"
"Wich Please","Fast Food",250,"8am – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/wich-please-1-gachibowli"
"Republic Of Noodles - Lemon Tree Hotel","Thai, Asian, Chinese, Malaysian",1700,"11:30am – 3pm, 7pm – 12midnight (Mon-Sun)","Pan-Asian Delicacies","https://www.zomato.com/hyderabad/republic-of-noodles-lemon-tree-hotel-gachibowli"
"Angaara Counts 3","North Indian, Biryani, Chinese",500,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/angaara-counts-3-gachibowli"
"Melting Pot","North Indian, Chinese",500,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/melting-pot-gachibowli"
"Pepper Treats","Kerala",500,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pepper-treats-gachibowli"
"Drunkyard","Continental, North Indian, Chinese",1000,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/drunkyard-gachibowli"
"Eatsome","Fast Food, North Indian, Momos",400,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/eatsome-gachibowli"
"Pavilion - The Peerless Inn","North Indian, Continental, South Indian, Chinese",800,"7:30am – 10:30pm (Mon-Sun)","Great Buffets","https://www.zomato.com/thepeerlessinnhyd"
"Ovenstory Pizza","Pizza, Fast Food",800,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/ovenstory-pizza-gachibowli"
"Shriji Rasoi","North Indian",300,"11am – 4pm, 7pm – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/shriji-rasoi-gachibowli"
"Rice Bowl","North Indian",350,"12noon – 4pm, 6:30pm – 10:30pm (Mon-Sun)","Pocket Friendly","https://www.zomato.com/hyderabad/rice-bowl-gachibowli"
"Subway","Fast Food, Healthy Food, Sandwich, Salad",500,"8am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/subway-1-gachibowli"
"Kritunga - Palegar's Cuisine","South Indian",800,"12:30pm – 4pm, 7:30pm – 11pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad","https://www.zomato.com/hyderabad/kritunga-palegars-cuisine-gachibowli"
"Dirty Burgers","BBQ, Fast Food, Burger, Wraps",800,"1pm – 11pm (Mon-Thu),1pm – 12midnight (Fri-Sun)",NA,"https://www.zomato.com/hyderabad/dirty-burgers-gachibowli"
"Citrus Cafe - Lemon Tree Hotel","European, South Indian, American, North Indian, Continental",1800,"24 Hours (Mon-Sun)","Great Buffets","https://www.zomato.com/hyderabad/citrus-cafe-lemon-tree-hotel-gachibowli"
"Link - Sheraton Hyderabad Hotel","Cafe",1500,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/link-sheraton-hyderabad-hotel-gachibowli"
"Pizza Hut","Pizza, Fast Food, Italian",900,"11am – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/pizza-hut-1-gachibowli"
"Anandam","North Indian, Rajasthani",350,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/anandam-gachibowli"
"Masti Sports Bar","North Indian, Continental",1400,"12noon – 12midnight (Mon, Tue, Wed, Thu, Sun)...",NA,"https://www.zomato.com/hyderabad/masti-sports-bar-gachibowli"
"Milk Shake Factory","Beverages, Desserts, Fast Food",350,"12noon – 11pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/milk-shake-factory-gachibowli"
"Frozen Bottle","Beverages, Desserts",400,"11am – 3:30am (Mon-Sun)","Best Milkshakes","https://www.zomato.com/hyderabad/frozen-bottle-gachibowli"
"Pakka Local","Andhra, South Indian, North Indian, Chinese",1000,"12noon – 11pm (Mon-Sun)","Sneak Peek Hyderabad","https://www.zomato.com/hyderabad/pakka-local-gachibowli"
"Coconut Juice Bar","Beverages",150,"11am – 4am (Mon-Sun)","Hyderabad's Hottest","https://www.zomato.com/hyderabad/coconut-juice-bar-gachibowli"
"Oakleaf: Oakwood Residence Kapil Hyderabad","Continental, North Indian, Italian, Desserts, Seafood",1500,"24 Hours (Mon-Sun)","Late Night Restaurants","https://www.zomato.com/oakleaf"
"Chak De","North Indian, Chinese, Biryani",500,"11am – 11:45pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/chak-de-gachibowli"
"Indus - Ellaa Hotels","Continental, North Indian, South Indian, Mexican, Chinese",1000,"24 Hours (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/indus-ellaa-hotels-gachibowli"
"Snack Time","Fast Food, Burger, Beverages",300,"12noon – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/snack-time-gachibowli"
"Bahar Cafe","North Indian, Chinese, Biryani",650,"11:30am – 10:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bahar-cafe-1-gachibowli"
"Istah - Sizzling Shawarmas","Arabian, Mediterranean",400,"8am – 3am (Mon-Sun)","Best shawarmas","https://www.zomato.com/hyderabad/istah-sizzling-shawarmas-1-gachibowli"
"Pulav House","South Indian, North Indian, Chinese",600,"Closed (Mon),11am – 11pm (Tue-Wed),11am –...",NA,"https://www.zomato.com/hyderabad/pulav-house-gachibowli"
"Balaji Rajasthan Food House","Rajasthani, North Indian",250,"11am – 3:30pm, 7pm – 10:30pm (Mon-Sun)","Terrific Thalis","https://www.zomato.com/hyderabad/balaji-rajasthan-food-house-gachibowli"
"Naina Tiffins & Meals","North Indian, South Indian, Chinese",200,"6:30am – 11:30pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/naina-tiffins-meals-gachibowli"
"Rasbahar","Mithai, Fast Food",250,"9am – 10pm (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/rasbahar-gachibowli"
"Firangi Bake","Mexican, Italian",600,"11am – 1am (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/firangi-bake-gachibowli"
"Bangkok 169","Thai, Asian, Chinese",800,"12noon – 12midnight (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/bangkok-169-1-gachibowli"
"The Punjabis Swag","Chinese, Continental",500,"12noon – 3:30pm, 7pm – 11pm (Mon-Sun)","Hyderabad's Hottest","https://www.zomato.com/hyderabad/the-punjabis-swag-gachibowli"
"Malabar Magic","Kerala",300,"12:30pm – 11:50pm (Mon, Wed, Thu, Fri, Sat, Sun)...",NA,"https://www.zomato.com/hyderabad/malabar-magic-gachibowli"
"Punjabi Bytes","North Indian",250,"12:30pm – 3pm, 8pm – 12:30AM (Mon-Sun)",NA,"https://www.zomato.com/hyderabad/punjabi-bytes-gachibowli"
